trial_number,score,avg_pnl,avg_sharpe,avg_inventory_penalty,TOM_FAIR_ALPHA,TOM_PRESSURE_BETA,TOM_TAKE_EDGE,TOM_PASSIVE_EDGE
86,2399.000256710634,2399.0,0.0025671063384835224,0.0,0.06991386534759186,0.7834467530388115,0.5048040214715127,2
87,2393.0002492857116,2393.0,0.0024928571145361,0.0,0.06201046967273795,0.673873724340503,0.7187506677526516,2
88,2549.0002727130736,2549.0,0.002727130735077953,0.0,0.09703365482954404,0.5608822641078276,0.6777805443319491,2
89,2671.000279848222,2671.0,0.0027984822191541147,0.0,0.05608651107269765,0.7239661478415884,0.5647463846572676,2
90,411.0000464060583,411.0,0.00046406058293088274,0.0,0.2740587717752061,0.5331736477246993,0.6171720231698054,2
91,2735.000291763779,2735.0,0.002917637789231667,0.0,0.0849501096575494,0.5955642575278985,0.6458171466645535,2
92,2628.0002793219114,2628.0,0.002793219113980396,0.0,0.07718644234143227,0.497440350534464,0.5958814129173713,2
93,2840.0002988715396,2840.0,0.0029887153980054583,0.0,0.05724866566873334,0.6491986855879206,0.5551202230413322,2
94,2296.0002372735207,2296.0,0.0023727352069250612,0.0,0.05755460739865175,0.644579685366532,0.7453828838435347,2
95,2504.0002684368574,2504.0,0.002684368572276154,0.0,0.07079401817171278,0.6884065168361557,0.545193870194413,2
96,1773.0001848421857,1773.0,0.0018484218567275284,0.0,0.06691727505500768,0.6145741515740236,1.5900161083124371,2
97,2613.0002747807384,2613.0,0.0027478073862294643,0.0,0.058136512177456905,0.46573144505722597,0.5369792421437142,2
98,2600.0002752425926,2600.0,0.0027524259278328372,0.0,0.05131628774789615,0.5666156430618848,0.6876974707472923,2
99,2487.0002591781945,2487.0,0.002591781946626123,0.0,0.07647493208041259,0.6394484579789975,0.8293737158634674,2
0,-385.0000452151052,-385.0,-0.00045215105195889566,0.0,0.18108904159657688,1.4408571676918993,1.9639878836228102,1
1,2345.000253642462,2345.0,0.0025364246219990332,0.0,0.10460652415485279,0.48719342440344315,0.6161672243363989,2
2,662.0000752482666,662.0,0.0007524826657622917,0.0,0.2603902541101231,1.1496870933552545,0.5411689885916049,2
3,-547.0000644976913,-547.0,-0.0006449769124564157,0.0,0.34135492428014763,0.5548069328139313,0.8636499344142012,0
4,537.0000579170973,537.0,0.0005791709727796027,0.0,0.1564847850358382,0.9297077179586853,1.3638900372842315,0
5,-19.22131472812495,-19.0,-2.2131472812494963,0.0,0.26414851315283283,0.4673926327824502,1.0842892970704363,1
